#YY;MM;DD;hh;mm;WDIR;WSPD;GST;WVHT;DPD;APD;MWD;PRES;ATMP;WTMP;DEWP;VIS;PTDY;TIDE
#yr;mo;dy;hr;mn;degT;m/s;m/s;m;sec;sec;deg;T   hPa;degC;degC;degC;nmi;hPa;ft
2019;8;31;13;0;340;7.2;MM;2.5;MM;7;MM;1018.7;17.3;MM;11.5;MM;MM;MM
2019;8;31;12;0;330;7.2;MM;2.1;MM;6;MM;1018.5;17.3;MM;11.9;MM;MM;MM
2019;8;31;11;0;340;8.2;MM;2.5;MM;6;MM;1018.2;17.3;MM;11.4;MM;MM;MM
2019;8;31;10;0;340;8.2;MM;2.4;MM;6;MM;1017.5;17.2;MM;12.0;MM;MM;MM
2019;8;31;9;0;330;9.3;MM;2.4;MM;6;MM;1016.7;17.1;MM;13.9;MM;MM;MM
2019;8;31;8;0;330;9.8;MM;2.4;MM;6;MM;1015.8;16.9;MM;15.5;MM;MM;MM
2019;8;31;7;0;240 1;0.3;MM;2.7;MM;6;MM;1015.1;17.8;MM;16.1;MM;MM;MM
2019;8;31;6;0;240;9.3;MM;2.5;MM;6;MM;1014.8;18.4;MM;15.5;MM;MM;MM
2019;8;31;5;0;240;8.8;MM;2.5;MM;6;MM;1015.0;18.4;MM;15.7;MM;MM;MM
2019;8;31;4;0;230;9.8;MM;2.8;MM;7;MM;1015.3;18.2;MM;15.1;MM;MM;MM
2019;8;31;3;0;220;8.8;MM;2.8;MM;7;MM;1016.0;18.2;MM;14.6;MM;MM;MM
2019;8;31;2;0;230;8.8;MM;2.6;MM;7;MM;1016.8;18.3;MM;13.8;MM;MM;MM
2019;8;31;1;0;220;8.2;MM;2.3;MM;7;MM;1017.3;18.3;MM;13.8;MM;MM;MM
2019;8;30;23;0;230;7.2;MM;2.8;MM;7;MM;1018.8;18.3;MM;12.9;MM;MM;MM
2019;8;30;22;0;220;6.7;MM;2.1;MM;7;MM;1019.0;18.2;MM;13.0;MM;MM;MM
2019;8;30;21;0;220;6.7;MM;2.0;MM;7;MM;1019.7;18.3;MM;14.1;MM;MM;MM
2019;8;30;20;0;220;5.7;MM;1.9;MM;7;MM;1019.8;18.1;MM;13.8;MM;MM;MM
2019;8;30;19;0;220;5.1;MM;2.0;MM;7;MM;1019.6;18.2;MM;14.1;MM;MM;MM
2019;8;30;18;0;230;5.7;MM;2.0;MM;7;MM;1019.9;18.2;MM;13.9;MM;MM;MM
2019;8;30;17;0;230;5.7;MM;2.1;MM;7;MM;1020.4;18.2;MM;13.7;MM;MM;MM
2019;8;30;16;0;230;5.7;MM;2.4;MM;8;MM;1020.9;18.2;MM;14.0;MM;MM;MM
2019;8;30;15;0;220;5.7;MM;2.6;MM;8;MM;1021.3;18.2;MM;13.9;MM;MM;MM
2019;8;30;14;0;210;5.1;MM;2.5;MM;8;MM;1022.0;18.2;MM;14.0;MM;MM;MM
2019;8;30;13;0;210;5.1;MM;2.3;MM;8;MM;1022.5;18.1;MM;13.6;MM;MM;MM
